S.No,Topic,Subtopic,Level,Question,question_image,Options (JSON),Solution (Correct Option Number),Explanation,image_url
1.0,Numbers,Basic Mathematical Concepts,easy,What is the sum of the place value and the face value of the digit 7 in the number 9753?,no image,"{""1"":""707"",""2"":""700"",""3"":""693"",""4"":""70""}",1.0,"The correct option is 1.

In the number 9753, the digit 7 is in the hundreds place. The place value of a digit is its value based on its position in the number. Therefore, the place value of 7 is 7 × 100 = 700. The face value of a digit is the digit itself, which is 7. The question asks for the sum of the place value and the face value, which is 700 + 7 = 707.

Option 2 is incorrect because 700 is only the place value of the digit 7, not the sum. Option 3 is incorrect because 693 is the difference between the place value and the face value (700 - 7), not the sum. Option 4 is incorrect because 70 would be the place value if the digit 7 were in the tens place, which it is not.",
2.0,Numbers,Basic Mathematical Concepts,medium,"Two values, A and B, are defined by the expressions shown in the image. What is the result of the operation A - B?",Basic Mathematical Concepts_1766389746746.png,"{""1"":""105"",""2"":""120"",""3"":""45"",""4"":""144""}",1.0,"The correct option is 1.

First, let's calculate the value of A. A is defined as the sum of all prime numbers between 20 and 40. The prime numbers in this range are 23, 29, 31, and 37. Summing these numbers gives: A = 23 + 29 + 31 + 37 = 120.

Next, we calculate the value of B. B is defined as the sum of all odd composite numbers between 10 and 20. The odd numbers in this range are 11, 13, 15, 17, and 19. Among these, 11, 13, 17, and 19 are prime. The only odd composite number is 15 (since 15 = 3 × 5). Therefore, B = 15.

Finally, we perform the subtraction A - B. This gives 120 - 15 = 105.

Option 2 is incorrect. This value of 120 would be the result if B were 0, which would happen if one mistakenly thought there were no odd composite numbers between 10 and 20.

Option 3 is incorrect. This value of 45 is obtained if B is wrongly calculated as the sum of all odd numbers in the range (11 + 13 + 15 + 17 + 19 = 75), leading to an incorrect calculation of 120 - 75 = 45.

Option 4 is incorrect. This value of 144 could be reached if A is miscalculated by including a composite number like 39 (A = 120 + 39 = 159), and then B is subtracted (159 - 15 = 144).",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Basic_Mathematical_Concepts_1766389746746.png?
3.0,Numbers,Basic Mathematical Concepts,hard,"A three-digit number is defined as 'balanced' if it satisfies the condition shown in the image, where 'a' is the hundreds digit, 'b' is the tens digit, and 'c' is the units digit. The digits are not necessarily distinct. What is the sum of all such balanced three-digit numbers?",Basic Mathematical Concepts_1766389823207.png,"{""1"":""24855"",""2"":""22755"",""3"":""19860"",""4"":""29850""}",1.0,"Option 1 is correct. The condition for a three-digit number '100a + 10b + c' to be balanced is given by the equation, which simplifies to 2b = a + c. Here, 'a' must be in {1, 2, ..., 9} and 'b', 'c' must be in {0, 1, ..., 9}. We need to find the sum of all such numbers.

A systematic approach is to categorize the numbers and sum them up. We can use a pairing insight. For any balanced number N = 100a + 10b + c where c is not 0, the number N' = 100c + 10b + a is also a balanced number, since a+c = c+a. The sum of such a pair is N + N' = 101(a+c) + 20b. Substituting a+c = 2b, the sum becomes 101(2b) + 20b = 202b + 20b = 222b.

We can break the problem into three cases:
Case 1: Palindromic numbers (a = c). The condition 2b = a + c becomes 2b = 2a, so b = a. The numbers are 111, 222, ..., 999. Their sum is 111 * (1 + 2 + ... + 9) = 111 * 45 = 4995.

Case 2: Numbers ending in zero (c = 0). The condition becomes 2b = a. Since 'a' must be a non-zero digit, possible (a,b) pairs are (2,1), (4,2), (6,3), (8,4). This gives the numbers 210, 420, 630, 840. Their sum is 210 + 420 + 630 + 840 = 2100.

Case 3: Asymmetric numbers where a ? c and c ? 0. We count the pairs (N, N') where a < c to avoid double counting. The sum for each pair is 222b. We count the number of pairs for each value of b:
- b=2 (a+c=4): 1 pair (123, 321). Sum = 1 * 222 * 2 = 444.
- b=3 (a+c=6): 2 pairs (135, 531; 234, 432). Sum = 2 * 222 * 3 = 1332.
- b=4 (a+c=8): 3 pairs. Sum = 3 * 222 * 4 = 2664.
- b=5 (a+c=10): 4 pairs. Sum = 4 * 222 * 5 = 4440.
- b=6 (a+c=12): 3 pairs. Sum = 3 * 222 * 6 = 3996.
- b=7 (a+c=14): 2 pairs. Sum = 2 * 222 * 7 = 3108.
- b=8 (a+c=16): 1 pair. Sum = 1 * 222 * 8 = 1776.
The total sum for this case is 444 + 1332 + 2664 + 4440 + 3996 + 3108 + 1776 = 17760.

The total sum of all balanced numbers is the sum from all three cases: 4995 (palindromes) + 2100 (ending in 0) + 17760 (asymmetric pairs) = 24855.

Option 2 (22755) is incorrect. This is the result of 24855 - 2100, which happens if one forgets to include the numbers ending in zero (Case 2).

Option 3 (19860) is incorrect. This is the result of 24855 - 4995, which happens if one forgets to include the palindromic numbers (Case 1).

Option 4 (29850) is incorrect. This is the result of 24855 + 4995. This error could occur if one calculates the total sum correctly and then adds the sum of palindromes a second time, possibly due to a miscounting methodology.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Basic_Mathematical_Concepts_1766389823207.png?
4.0,Numbers,Divisibility Rules,easy,What single digit should replace the asterisk (*) in the number shown in the image to make the number exactly divisible by 9?,Divisibility Rules_1766389851939.png,"{""1"":""0"",""2"":""1"",""3"":""7"",""4"":""8""}",3.0,"Correct option is 3. The divisibility rule for 9 states that a number is divisible by 9 if the sum of its digits is a multiple of 9. For the number 7*31, the sum of the known digits is 7 + 3 + 1 = 11. To make the number divisible by 9, the total sum (11 + *) must be a multiple of 9. The smallest multiple of 9 greater than 11 is 18. So, 11 + * = 18, which gives * = 7. Therefore, the digit to replace the asterisk is 7. Option 1 is incorrect because 7 + 0 + 3 + 1 = 11, which is not a multiple of 9. Option 2 is incorrect because 7 + 1 + 3 + 1 = 12, which is not a multiple of 9. Option 4 is incorrect because 7 + 8 + 3 + 1 = 19, which is not a multiple of 9.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Divisibility_Rules_1766389851939.png?
5.0,Numbers,Divisibility Rules,medium,"A 10-digit number contains two unknown digits, x and y. Using the condition provided in the image, find the value of the expression also shown.",Divisibility Rules_1766389918186.png,"{""1"":""9"",""2"":""13"",""3"":""5"",""4"":""8""}",1.0,"The correct option is 1.

To be divisible by 88, the number must be divisible by its co-prime factors, which are 8 and 11.

First, we apply the divisibility rule for 8. A number is divisible by 8 if the number formed by its last three digits is divisible by 8. In this case, the last three digits are '8y2'. For '8y2' to be divisible by 8, we can test values for y from 0 to 9. The number 800 is divisible by 8, so we only need to check if 'y2' is divisible by 8. Testing values, we find that 32 (for y=3) and 72 (for y=7) are divisible by 8. Thus, the possible values for y are 3 and 7.

Next, we apply the divisibility rule for 11. A number is divisible by 11 if the difference between the sum of the digits at odd positions and the sum of the digits at even positions is 0 or a multiple of 11. The number is 1330x558y2. The sum of digits at odd positions is 1+3+x+5+y = 9+x+y. The sum of digits at even positions is 3+0+5+8+2 = 18. The difference is |(9+x+y) - 18| = |x+y-9|. This difference must be 0 or a multiple of 11.

We now combine these findings with a case analysis. Case 1: If y = 3, the difference is |x+3-9| = |x-6|. For this to be 0 or 11, x must be 6 (since x is a single digit). In this case, x+y = 6+3 = 9. Case 2: If y = 7, the difference is |x+7-9| = |x-2|. For this to be 0 or 11, x must be 2 (since x is a single digit). In this case, x+y = 2+7 = 9. In both valid scenarios, the value of x+y is 9.

Option 2 (13) would result from incorrectly pairing x=6 with y=7. Option 3 (5) would result from incorrectly pairing x=2 with y=3. Option 4 (8) could arise from a calculation error in the divisibility rule for 11, such as solving |x+y-9| = 1 instead of 0.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Divisibility_Rules_1766389918186.png?
6.0,Numbers,Divisibility Rules,hard,"A seven-digit number N is represented as 8A09B1C. This number is known to be perfectly divisible by 792. If A, B, and C are single-digit integers, what is the value of the expression shown in the image?",Divisibility Rules_1766389989380.png,"{""1"":""6"",""2"":""14"",""3"":""10"",""4"":""2""}",1.0,"The correct option is 1.

First, we need to find the prime factorization of 792. 792 = 8 × 99 = 8 × 9 × 11. For the number N = 8A09B1C to be divisible by 792, it must be divisible by the co-prime factors 8, 9, and 11.

1. Divisibility by 8: The number formed by the last three digits, B1C, must be divisible by 8. We can write B1C as 100B + 16. A simpler method is to check values. The number '1C' when B is even must be divisible by 8 (e.g., 01C, 21C, etc.), and when B is odd (e.g., 11C, 31C, etc.). Testing shows if B is even, 16 is divisible by 8, so C must be 6 for B1C to be divisible by 8 (e.g., 216, 416). If B is odd, 12 is divisible by 8, so C must be 2 (e.g., 112, 312). Thus, we have two conditions: (i) If B is even, C=6. (ii) If B is odd, C=2.

2. Divisibility by 9: The sum of the digits of N must be divisible by 9. Sum = 8+A+0+9+B+1+C = 18 + A+B+C. Since 18 is divisible by 9, the sum A+B+C must be a multiple of 9.

3. Divisibility by 11: The difference between the sum of digits at odd places and the sum of digits at even places must be a multiple of 11. Odd places: 8, 0, B, C. Sum = 8+B+C. Even places: A, 9, 1. Sum = A+10. Difference = (8+B+C) - (A+10) = B+C-A-2. So, B+C-A-2 must be a multiple of 11.

We now solve using two cases based on the rule for 8.

Case 1: B is odd, so C = 2. 
From the rule for 11: B+2-A-2 = B-A must be a multiple of 11. Since A and B are single digits, the only possibility is B-A = 0, which means A=B. 
From the rule for 9: A+B+C = A+A+2 = 2A+2 must be a multiple of 9. So, 2(A+1) must be a multiple of 9. This implies A+1 is a multiple of 9. As A is a single digit, A+1 can only be 9, which means A=8. If A=8, then B=8. This contradicts our initial assumption that B is odd. So, this case is not possible.

Case 2: B is even, so C = 6.
From the rule for 11: B+6-A-2 = B-A+4 must be a multiple of 11. Since B is an even digit {0,2,4,6,8} and A is a digit {0-9}, the value of B-A+4 ranges from (0-9)+4 = -5 to (8-0)+4 = 12. The only multiples of 11 in this range are 0 and 11. 
Subcase 2a: B-A+4 = 0 => A = B+4. Now we use the rule for 9: A+B+C = (B+4)+B+6 = 2B+10 must be a multiple of 9. We test the even values for B: If B=0, 2(0)+10=10 (No). If B=2, 2(2)+10=14 (No). If B=4, 2(4)+10=18 (Yes). If B=4, then A=4+4=8. This is a valid solution. A=8, B=4, C=6. 
Subcase 2b: B-A+4 = 11 => A = B-7. Since A must be non-negative, B must be at least 7. The only even possibility is B=8. If B=8, A=1. Now we use the rule for 9: A+B+C = 1+8+6 = 15, which is not a multiple of 9. This subcase yields no solution.

The only valid solution is A=8, B=4, C=6. The expression is A+B-C = 8+4-6 = 6.

Option 2 (14) is obtained if one incorrectly proceeds with Case 1 (ignoring the contradiction) to get A=8, B=8, C=2. Then A+B-C = 8+8-2 = 14. This is incorrect as N=8809812 is not divisible by 8. Option 3 (10) and Option 4 (2) result from incorrect calculations with the correct A, B, C values (e.g., A-B+C = 8-4+6=10 and -A+B+C = -8+4+6=2).",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Divisibility_Rules_1766389989380.png?
7.0,Numbers,Unit Digits,easy,What is the unit digit of the result of the calculation shown in the image?,Unit Digits_1766390024832.png,"{""1"":""8"",""2"":""2"",""3"":""4"",""4"":""9""}",2.0,"Option 2 is correct. To find the unit digit of the product of several numbers, we only need to multiply their unit digits. The unit digits in the expression are 3 (from 123), 6 (from 456), and 9 (from 789). First, we find the unit digit of the product of the first two unit digits: 3 × 6 = 18. The unit digit of this result is 8. Then, we multiply this new unit digit (8) by the unit digit of the next number (9): 8 × 9 = 72. The unit digit of 72 is 2. Therefore, the unit digit of the entire expression is 2.

Option 1 is incorrect because 8 is the unit digit of the product of only the first two numbers (123 × 456), but it neglects the third number.

Option 3 is incorrect because 4 is the unit digit from multiplying the last two unit digits (6 × 9 = 54), which incorrectly ignores the first number's unit digit.

Option 4 is incorrect because 9 is simply the unit digit of the last number in the expression (789), not the unit digit of the final product.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Unit_Digits_1766390024832.png?
8.0,Numbers,Unit Digits,medium,What is the unit digit of the final result of the expression shown below?,Unit Digits_1766390057458.png,"{""1"":""4"",""2"":""8"",""3"":""2"",""4"":""0""}",1.0,"The correct option is 1.

To find the unit digit of the expression, we must find the unit digit of each term and then perform the operations. First, consider the term (137)^43. The unit digit is determined by the unit digit of 7^43. The pattern of unit digits for powers of 7 is 7, 9, 3, 1, which repeats every 4 powers. To find the position in this cycle, we find the remainder of 43 divided by 4, which is 3. The third unit digit in the cycle is 3. Second, consider the term (264)^58. The unit digit is determined by 4^58. The pattern of unit digits for powers of 4 is 4, 6, which repeats every 2 powers. Since the exponent 58 is even, the unit digit is 6. Third, consider the term (345)^76. Any positive integer power of a number ending in 5 will have a unit digit of 5. Now, we combine the unit digits: (unit digit of the first term) + (unit digit of the second term) - (unit digit of the third term). This corresponds to 3 + 6 - 5. The sum 3 + 6 is 9. Then, 9 - 5 gives 4. Therefore, the unit digit of the entire expression is 4.

Option 2 is incorrect. An answer of 8 would be reached if the unit digit for (137)^43 was mistakenly taken as 7 (corresponding to a remainder of 1 when dividing 43 by 4), leading to 7 + 6 - 5 = 8. Option 3 is incorrect. An answer of 2 would be reached if the unit digit of (264)^58 was incorrectly assumed to be 4 (confusing the rule for even and odd powers), leading to 3 + 4 - 5 = 2. Option 4 is incorrect. An answer of 0 would result from incorrectly calculating the unit digit of (137)^43 as 9 (corresponding to a remainder of 2), which gives 9 + 6 - 5 = 10, for a unit digit of 0.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Unit_Digits_1766390057458.png?
9.0,Numbers,Unit Digits,hard,What is the unit digit of the expression for X shown in the image?,Unit Digits_1766390095652.png,"{""1"":""6"",""2"":""2"",""3"":""8"",""4"":""0""}",3.0,"To find the unit digit of X, we need to find the unit digit of each term separately and then add them.

Term 1: (137)^(41!)
The unit digit is determined by 7^(41!). The cyclicity of the unit digits of powers of 7 is 4 (7, 9, 3, 1). We need to find the remainder of the exponent 41! when divided by 4. Since 41 is greater than or equal to 4, 41! contains 4 as a factor, which means 41! is perfectly divisible by 4. The remainder is 0. When the remainder is 0, we take the 4th term in the cycle, which is 1. So, the unit digit of (137)^(41!) is 1.

Term 2: (248)^(97^35)
The unit digit is determined by 8^(97^35). The cyclicity of the unit digits of powers of 8 is 4 (8, 4, 2, 6). We need to find the remainder of the exponent 97^35 when divided by 4. First, find the remainder of the base of the exponent, 97, when divided by 4. 97 = (24 * 4) + 1, so 97 leaves a remainder of 1. Therefore, 97^35 will have the same remainder as 1^35 when divided by 4, which is 1. The exponent is of the form 4k + 1. We take the 1st term in the cycle of 8, which is 8. So, the unit digit of (248)^(97^35) is 8.

Term 3: (359)^(123! + 1)
The unit digit is determined by 9^(123! + 1). The cyclicity of the unit digits of powers of 9 is 2 (9 for odd powers, 1 for even powers). We need to determine if the exponent 123! + 1 is odd or even. Since 123 is greater than 1, 123! is a product of many integers including 2, so it is an even number. Adding 1 to an even number (123!) results in an odd number. Thus, the exponent is odd. For an odd exponent, the unit digit of a power of 9 is 9. So, the unit digit of (359)^(123! + 1) is 9.

Finally, we add the unit digits of the three terms: 1 + 8 + 9 = 18. The unit digit of the sum is the unit digit of 18, which is 8.

Option 1 is incorrect. A unit digit of 6 would be obtained if the second term's unit digit was incorrectly calculated as 6 (by assuming the exponent is a multiple of 4), leading to 1 + 6 + 9 = 16.
Option 2 is incorrect. A unit digit of 2 would be obtained if the second term's unit digit was incorrectly calculated as 2 (by assuming the exponent gives a remainder of 3 when divided by 4), leading to 1 + 2 + 9 = 12.
Option 4 is incorrect. A unit digit of 0 would be obtained if the third term's unit digit was incorrectly calculated as 1 (by assuming the exponent is even), leading to 1 + 8 + 1 = 10.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Unit_Digits_1766390095652.png?
10.0,Numbers,Remainder Theorem,easy,What is the remainder when the number 125 is divided by 8?,no image,"{""1"":""5"",""2"":""15"",""3"":""3"",""4"":""0""}",1.0,"The correct option is 1.

To find the remainder when 125 is divided by 8, we can use the division algorithm which states that Dividend = (Divisor × Quotient) + Remainder. The largest multiple of 8 that is less than or equal to 125 is 8 × 15 = 120. Subtracting this from 125 gives 125 - 120 = 5. So, 125 = (8 × 15) + 5. The remainder is 5.

Option 2 is incorrect because 15 is the quotient in this division, not the remainder. Option 3 is an incorrect calculation. Option 4 is incorrect because a remainder of 0 would mean 125 is perfectly divisible by 8, which is not the case.",
